,Path,Class,Length
107,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1065\1065_134611_1065-134611-0038.npy,0,933
108,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1065\1065_135665_1065-135665-0008.npy,0,859
109,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1065\1065_135665_1065-135665-0016.npy,0,841
110,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1065\1065_135665_1065-135665-0020.npy,0,958
111,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\107\107_22885_107-22885-0015.npy,0,997
112,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\107\107_22885_107-22885-0019.npy,0,939
113,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\107\107_22885_107-22885-0028.npy,0,716
114,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\107\107_22887_107-22887-0005.npy,0,899
115,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\107\107_22887_107-22887-0017.npy,0,968
116,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\107\107_22887_107-22887-0023.npy,0,952
117,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\107\107_22887_107-22887-0025.npy,0,586
118,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\107\107_22887_107-22887-0035.npy,0,1017
119,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\107\107_22887_107-22887-0038.npy,0,1000
120,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1085\1085_138296_1085-138296-0009.npy,0,972
121,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1085\1085_138296_1085-138296-0019.npy,0,908
122,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1085\1085_138296_1085-138296-0023.npy,0,962
123,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1085\1085_138296_1085-138296-0031.npy,0,848
124,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1085\1085_138296_1085-138296-0034.npy,0,993
125,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1085\1085_156170_1085-156170-0005.npy,0,132
126,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1085\1085_156170_1085-156170-0026.npy,0,866
127,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1085\1085_156170_1085-156170-0029.npy,0,652
128,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1085\1085_156170_1085-156170-0038.npy,0,867
129,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1085\1085_156170_1085-156170-0040.npy,0,529
130,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1085\1085_156170_1085-156170-0042.npy,0,509
131,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1085\1085_169444_1085-169444-0000.npy,0,925
132,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1085\1085_169444_1085-169444-0004.npy,0,275
133,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1085\1085_169444_1085-169444-0006.npy,0,738
134,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1085\1085_169444_1085-169444-0026.npy,0,959
135,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1085\1085_169444_1085-169444-0029.npy,0,988
136,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1085\1085_169444_1085-169444-0035.npy,0,835
137,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1085\1085_169444_1085-169444-0037.npy,0,698
138,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1085\1085_169444_1085-169444-0039.npy,0,763
139,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1085\1085_169444_1085-169444-0042.npy,0,889
140,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1092\1092_134562_1092-134562-0003.npy,0,871
141,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1092\1092_134562_1092-134562-0011.npy,0,467
142,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1092\1092_134562_1092-134562-0014.npy,0,873
143,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1092\1092_134562_1092-134562-0022.npy,0,948
144,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1092\1092_134563_1092-134563-0006.npy,0,560
145,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1092\1092_134563_1092-134563-0011.npy,0,979
146,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1092\1092_134563_1092-134563-0012.npy,0,532
147,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1092\1092_134563_1092-134563-0043.npy,0,982
148,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1092\1092_134568_1092-134568-0004.npy,0,791
149,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1092\1092_134568_1092-134568-0025.npy,0,974
150,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1092\1092_134568_1092-134568-0031.npy,0,871
151,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1092\1092_134568_1092-134568-0033.npy,0,1010
152,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1092\1092_134579_1092-134579-0004.npy,0,276
153,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1092\1092_134579_1092-134579-0006.npy,0,699
154,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1092\1092_134579_1092-134579-0018.npy,0,998
155,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1092\1092_134579_1092-134579-0028.npy,0,981
156,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1094\1094_129661_1094-129661-0008.npy,0,830
157,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1094\1094_129661_1094-129661-0027.npy,0,254
158,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1094\1094_157767_1094-157767-0027.npy,0,921
159,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1094\1094_157767_1094-157767-0031.npy,0,435
160,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1094\1094_157767_1094-157767-0042.npy,0,1002
161,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1094\1094_157767_1094-157767-0046.npy,0,379
162,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1094\1094_157767_1094-157767-0058.npy,0,1008
163,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1094\1094_157767_1094-157767-0064.npy,0,496
164,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1094\1094_157767_1094-157767-0079.npy,0,855
165,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1094\1094_157767_1094-157767-0082.npy,0,966
166,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1094\1094_157768_1094-157768-0001.npy,0,820
167,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1094\1094_157768_1094-157768-0013.npy,0,905
168,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1094\1094_157768_1094-157768-0022.npy,0,854
169,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1094\1094_157768_1094-157768-0023.npy,0,763
170,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1094\1094_157768_1094-157768-0024.npy,0,514
171,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1094\1094_157768_1094-157768-0026.npy,0,927
172,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1097\1097_136910_1097-136910-0004.npy,0,912
173,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1097\1097_136910_1097-136910-0010.npy,0,878
174,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1097\1097_136910_1097-136910-0014.npy,0,890
175,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1097\1097_136910_1097-136910-0018.npy,0,888
176,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1097\1097_136910_1097-136910-0021.npy,0,915
177,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1097\1097_136910_1097-136910-0025.npy,0,731
178,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1097\1097_136910_1097-136910-0029.npy,0,922
179,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1097\1097_136910_1097-136910-0033.npy,0,690
180,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1097\1097_136910_1097-136910-0034.npy,0,1061
181,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1097\1097_136912_1097-136912-0000.npy,0,988
182,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1097\1097_136912_1097-136912-0010.npy,0,880
183,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1097\1097_136912_1097-136912-0020.npy,0,983
184,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1097\1097_136955_1097-136955-0009.npy,0,988
185,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1097\1097_136955_1097-136955-0026.npy,0,223
186,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1097\1097_136955_1097-136955-0030.npy,0,735
187,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1097\1097_136955_1097-136955-0042.npy,0,901
188,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1107\1107_1042_1107-1042-0019.npy,0,671
189,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1107\1107_1042_1107-1042-0022.npy,0,907
190,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1107\1107_1042_1107-1042-0029.npy,0,915
191,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1107\1107_133727_1107-133727-0007.npy,0,368
192,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1107\1107_133727_1107-133727-0019.npy,0,971
193,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1107\1107_133727_1107-133727-0024.npy,0,581
194,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1107\1107_133727_1107-133727-0035.npy,0,939
195,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1107\1107_133727_1107-133727-0043.npy,0,1011
196,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1107\1107_133727_1107-133727-0050.npy,0,1046
197,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1107\1107_133727_1107-133727-0054.npy,0,150
198,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1107\1107_133727_1107-133727-0058.npy,0,281
199,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1107\1107_134311_1107-134311-0023.npy,0,268
200,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1107\1107_134311_1107-134311-0026.npy,0,177
201,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1107\1107_134313_1107-134313-0016.npy,0,464
202,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\111\111_126265_111-126265-0007.npy,0,843
203,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\111\111_126277_111-126277-0003.npy,0,946
204,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\111\111_126277_111-126277-0006.npy,0,953
205,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\111\111_126277_111-126277-0023.npy,0,511
206,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\111\111_129000_111-129000-0003.npy,0,985
207,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\111\111_129000_111-129000-0016.npy,0,961
208,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\111\111_129000_111-129000-0026.npy,0,914
209,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\111\111_129000_111-129000-0046.npy,0,884
210,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\111\111_129000_111-129000-0058.npy,0,341
211,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1124\1124_132846_1124-132846-0000.npy,0,976
212,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1124\1124_132846_1124-132846-0005.npy,0,191
213,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1124\1124_132846_1124-132846-0007.npy,0,314
214,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1124\1124_132846_1124-132846-0033.npy,0,576
215,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1124\1124_132846_1124-132846-0041.npy,0,192
216,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1124\1124_132846_1124-132846-0056.npy,0,658
217,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1124\1124_134775_1124-134775-0021.npy,0,740
218,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1124\1124_134775_1124-134775-0022.npy,0,823
219,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1124\1124_134775_1124-134775-0030.npy,0,932
220,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1124\1124_134775_1124-134775-0032.npy,0,714
221,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1124\1124_134775_1124-134775-0040.npy,0,906
222,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1124\1124_134775_1124-134775-0050.npy,0,837
223,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1124\1124_134775_1124-134775-0053.npy,0,795
224,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1124\1124_134775_1124-134775-0058.npy,0,833
225,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1124\1124_134775_1124-134775-0059.npy,0,898
226,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1124\1124_134775_1124-134775-0066.npy,0,756
227,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1124\1124_134775_1124-134775-0080.npy,0,832
228,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1132\1132_138883_1132-138883-0014.npy,0,990
229,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1132\1132_138883_1132-138883-0015.npy,0,877
230,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1132\1132_138883_1132-138883-0025.npy,0,942
231,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1132\1132_145024_1132-145024-0020.npy,0,927
232,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1132\1132_145024_1132-145024-0021.npy,0,986
233,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1132\1132_145024_1132-145024-0026.npy,0,934
234,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1132\1132_145024_1132-145024-0032.npy,0,875
235,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1132\1132_145024_1132-145024-0035.npy,0,931
236,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1132\1132_145024_1132-145024-0037.npy,0,807
237,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1132\1132_145024_1132-145024-0049.npy,0,438
238,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1132\1132_145024_1132-145024-0055.npy,0,908
239,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1132\1132_145024_1132-145024-0057.npy,0,832
240,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1132\1132_145024_1132-145024-0081.npy,0,999
241,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1132\1132_145024_1132-145024-0082.npy,0,985
242,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1132\1132_145024_1132-145024-0084.npy,0,857
243,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1161\1161_135206_1161-135206-0002.npy,0,861
244,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1161\1161_135206_1161-135206-0008.npy,0,720
245,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1161\1161_135206_1161-135206-0013.npy,0,619
246,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1161\1161_135206_1161-135206-0021.npy,0,791
247,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1161\1161_135206_1161-135206-0030.npy,0,984
248,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1161\1161_135206_1161-135206-0032.npy,0,986
249,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1161\1161_135206_1161-135206-0048.npy,0,991
250,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1161\1161_135206_1161-135206-0073.npy,0,345
251,C:\Users\boris\Documents\notebok\госзнак\train\train\clean\1161\1161_135206_1161-135206-0075.npy,0,626
